cluster_1	cluster_2	Jaccard	Overlap
dump.out.ecoli60.mci.I60_1	dump.out.ecoli60.mci.I14_1	0.35294117647058826	0.9947368421052631
dump.out.ecoli60.mci.I60_2	dump.out.ecoli60.mci.I14_4	0.4734848484848485	0.984251968503937
dump.out.ecoli60.mci.I60_3	dump.out.ecoli60.mci.I14_5	0.46524064171123	1.0
dump.out.ecoli60.mci.I60_4	dump.out.ecoli60.mci.I14_3	0.16824644549763032	1.0
dump.out.ecoli60.mci.I60_5	dump.out.ecoli60.mci.I14_1	0.058878504672897194	0.984375
dump.out.ecoli60.mci.I60_6	dump.out.ecoli60.mci.I14_8	0.9545454545454546	1.0
dump.out.ecoli60.mci.I60_7	dump.out.ecoli60.mci.I14_2	0.10588235294117647	0.9782608695652174
dump.out.ecoli60.mci.I60_8	dump.out.ecoli60.mci.I14_4	0.17557251908396945	1.0
dump.out.ecoli60.mci.I60_9	dump.out.ecoli60.mci.I14_1	0.04018691588785047	0.9772727272727273
dump.out.ecoli60.mci.I60_10	dump.out.ecoli60.mci.I14_1	0.03461178671655753	1.0
dump.out.ecoli60.mci.I60_11	dump.out.ecoli60.mci.I14_1	0.02504638218923933	0.75
dump.out.ecoli60.mci.I60_12	dump.out.ecoli60.mci.I14_1	0.025233644859813085	0.9642857142857143
dump.out.ecoli60.mci.I60_13	dump.out.ecoli60.mci.I14_11	0.5306122448979592	1.0
dump.out.ecoli60.mci.I60_14	dump.out.ecoli60.mci.I14_3	0.054373522458628844	0.9583333333333334
dump.out.ecoli60.mci.I60_15	dump.out.ecoli60.mci.I14_3	0.054502369668246446	1.0
dump.out.ecoli60.mci.I60_16	dump.out.ecoli60.mci.I14_5	0.11764705882352941	1.0
dump.out.ecoli60.mci.I60_17	dump.out.ecoli60.mci.I14_13	0.4888888888888889	1.0
dump.out.ecoli60.mci.I60_18	dump.out.ecoli60.mci.I14_1	0.010194624652455977	0.5238095238095238
dump.out.ecoli60.mci.I60_19	dump.out.ecoli60.mci.I14_1	0.019644527595884004	1.0
dump.out.ecoli60.mci.I60_20	dump.out.ecoli60.mci.I14_1	0.01020408163265306	0.55
dump.out.ecoli60.mci.I60_21	dump.out.ecoli60.mci.I14_3	0.0351288056206089	0.75
dump.out.ecoli60.mci.I60_22	dump.out.ecoli60.mci.I14_2	0.027777777777777776	0.6
dump.out.ecoli60.mci.I60_23	dump.out.ecoli60.mci.I14_2	0.04225352112676056	0.9
dump.out.ecoli60.mci.I60_24	dump.out.ecoli60.mci.I14_6	0.2111111111111111	1.0
dump.out.ecoli60.mci.I60_25	dump.out.ecoli60.mci.I14_9	0.2727272727272727	0.7894736842105263
dump.out.ecoli60.mci.I60_26	dump.out.ecoli60.mci.I14_2	0.03263403263403263	0.7368421052631579
dump.out.ecoli60.mci.I60_27	dump.out.ecoli60.mci.I14_4	0.040892193308550186	0.6111111111111112
dump.out.ecoli60.mci.I60_28	dump.out.ecoli60.mci.I14_14	0.4186046511627907	1.0
dump.out.ecoli60.mci.I60_29	dump.out.ecoli60.mci.I14_2	0.023310023310023312	0.6666666666666666
