GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0009245,lipid A biosynthetic process,24,7,0.15,2.7e-11,0
GO:0046493,lipid A metabolic process,24,7,0.15,2.7e-11,0
GO:0010041,response to iron(III) ion,6,5,0.04,2.8e-11,0
GO:0006643,membrane lipid metabolic process,25,7,0.15,3.8e-11,0
GO:0006664,glycolipid metabolic process,25,7,0.15,3.8e-11,0
GO:0009247,glycolipid biosynthetic process,25,7,0.15,3.8e-11,0
GO:0046467,membrane lipid biosynthetic process,25,7,0.15,3.8e-11,0
GO:1901269,lipooligosaccharide metabolic process,25,7,0.15,3.8e-11,0
GO:1901271,lipooligosaccharide biosynthetic process,25,7,0.15,3.8e-11,0
GO:0008653,lipopolysaccharide metabolic process,53,8,0.32,2.4e-10,0
GO:0010039,response to iron ion,8,5,0.05,2.6e-10,0
GO:1903509,liposaccharide metabolic process,63,8,0.38,1e-09,0
GO:0008654,phospholipid biosynthetic process,52,7,0.32,9.7e-09,0
GO:0009103,lipopolysaccharide biosynthetic process,52,7,0.32,9.7e-09,0
GO:0006644,phospholipid metabolic process,55,7,0.34,1.5e-08,0
GO:1902074,response to salt,20,5,0.12,6.8e-08,0
GO:0000271,polysaccharide biosynthetic process,85,7,0.52,3.2e-07,1e-04
GO:0005976,polysaccharide metabolic process,98,7,0.6,8.6e-07,1e-04
GO:0016051,carbohydrate biosynthetic process,104,7,0.64,1.3e-06,2e-04
GO:0006629,lipid metabolic process,171,8,1.04,2.9e-06,4e-04
GO:0008610,lipid biosynthetic process,118,7,0.72,3.1e-06,4e-04
GO:0044255,cellular lipid metabolic process,122,7,0.75,3.8e-06,5e-04
GO:0010038,response to metal ion,49,5,0.3,7.5e-06,9e-04
GO:0046677,response to antibiotic,94,6,0.57,1.2e-05,0.0014
GO:0042221,response to chemical,363,10,2.22,1.3e-05,0.0015
GO:0036107,4-amino-4-deoxy-alpha-L-arabinopyranosyl...,2,2,0.01,3.5e-05,0.0037
GO:0036108,4-amino-4-deoxy-alpha-L-arabinopyranosyl...,2,2,0.01,3.5e-05,0.0037
GO:0090407,organophosphate biosynthetic process,182,7,1.11,5.4e-05,0.0056
GO:0010035,response to inorganic substance,85,5,0.52,0.00011,0.011
GO:1901137,carbohydrate derivative biosynthetic pro...,219,7,1.34,0.00018,0.0173
GO:0006796,phosphate-containing compound metabolic ...,393,9,2.4,2e-04,0.0186
GO:0006793,phosphorus metabolic process,416,9,2.54,0.00031,0.028
GO:0050896,response to stimulus,909,13,5.55,0.00035,0.0306
GO:1901135,carbohydrate derivative metabolic proces...,337,8,2.06,0.00042,0.0357
GO:0019637,organophosphate metabolic process,265,7,1.62,0.00059,0.0487
GO:0019043,establishment of viral latency,8,2,0.05,0.00097,0.0737
GO:0044826,viral genome integration into host DNA,8,2,0.05,0.00097,0.0737
GO:0075713,establishment of integrated proviral lat...,8,2,0.05,0.00097,0.0737
GO:0006721,terpenoid metabolic process,10,2,0.06,0.00154,0.1112
GO:0016114,terpenoid biosynthetic process,10,2,0.06,0.00154,0.1112
GO:0019042,viral latency,11,2,0.07,0.00188,0.1325
GO:0043170,macromolecule metabolic process,1081,13,6.6,0.0023,0.1582
GO:0005975,carbohydrate metabolic process,340,7,2.08,0.00263,0.1695
GO:0044409,entry into host,13,2,0.08,0.00264,0.1695
GO:0046718,viral entry into host cell,13,2,0.08,0.00264,0.1695
GO:0006720,isoprenoid metabolic process,14,2,0.09,0.00307,0.1887
GO:0008299,isoprenoid biosynthetic process,14,2,0.09,0.00307,0.1887
GO:0044000,movement in host,16,2,0.1,0.00402,0.242
GO:0015074,DNA integration,18,2,0.11,0.00509,0.2941
GO:0019058,viral life cycle,18,2,0.11,0.00509,0.2941
