dump.out.ecoli60.mci.I60_1065	dump.out.ecoli60.mci.I14_391	dump.out.ecoli60.mci.I20_542 
dump.out.ecoli60.mci.I60_1067	dump.out.ecoli60.mci.I14_392	dump.out.ecoli60.mci.I20_543 
dump.out.ecoli60.mci.I60_1068	dump.out.ecoli60.mci.I14_393	dump.out.ecoli60.mci.I20_544 
dump.out.ecoli60.mci.I60_1071	dump.out.ecoli60.mci.I14_394	dump.out.ecoli60.mci.I20_545 
dump.out.ecoli60.mci.I60_1072	dump.out.ecoli60.mci.I14_395	dump.out.ecoli60.mci.I20_546 
dump.out.ecoli60.mci.I60_1074	dump.out.ecoli60.mci.I14_396	dump.out.ecoli60.mci.I20_547 
dump.out.ecoli60.mci.I60_1076	dump.out.ecoli60.mci.I14_397	dump.out.ecoli60.mci.I20_548 
dump.out.ecoli60.mci.I60_1078	dump.out.ecoli60.mci.I14_398	dump.out.ecoli60.mci.I20_549 
dump.out.ecoli60.mci.I60_1079	dump.out.ecoli60.mci.I14_399	dump.out.ecoli60.mci.I20_550 
dump.out.ecoli60.mci.I60_1080	dump.out.ecoli60.mci.I14_400	dump.out.ecoli60.mci.I20_551 
dump.out.ecoli60.mci.I60_1082	dump.out.ecoli60.mci.I14_401	dump.out.ecoli60.mci.I20_552 
dump.out.ecoli60.mci.I60_1091	dump.out.ecoli60.mci.I14_402	dump.out.ecoli60.mci.I20_553 
dump.out.ecoli60.mci.I60_1098	dump.out.ecoli60.mci.I14_403	dump.out.ecoli60.mci.I20_554 
dump.out.ecoli60.mci.I60_1101	dump.out.ecoli60.mci.I14_404	dump.out.ecoli60.mci.I20_555 
dump.out.ecoli60.mci.I60_1108	dump.out.ecoli60.mci.I14_405	dump.out.ecoli60.mci.I20_556 
dump.out.ecoli60.mci.I60_1114	dump.out.ecoli60.mci.I14_406	dump.out.ecoli60.mci.I20_557 
dump.out.ecoli60.mci.I60_1115	dump.out.ecoli60.mci.I14_407	dump.out.ecoli60.mci.I20_558 
dump.out.ecoli60.mci.I60_1116	dump.out.ecoli60.mci.I14_408	dump.out.ecoli60.mci.I20_559 
dump.out.ecoli60.mci.I60_1117	dump.out.ecoli60.mci.I14_409	dump.out.ecoli60.mci.I20_560 
